SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
,,,,,,,,,,,,Maui Moisture Color Protection,,Conditioner,,Hair Care,,Skin Care,
,,,,,,,,,,,,Clean & Clear Essentials,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Aveeno,,Foot Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Neutrogena Hydro Boost,,,,Non-Amazon,,Spike SKUs,
,,,,,,,,,,,,Bebe Zartpflege,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Aveeno Skin Relief,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
,,,,,,,,,,,,Neutrogena Pure & Free,,Sun Protection,,Sun Care,,Skin Care,
,,,,,,,,,,,,Johnson's Make-Up Be Gone,,Face Care Regular,,Face Care,,Skin Care,
,,,,,,,,,,,,Johnson's Baby No More Tangles,,Regular Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Neostrata,,Face Care Anti-Age,,Face Care,,Skin Care,
,,,,,,,,,,,,Neutrogena Cellular Boost,,Face Care Anti-Age,,Face Care,,Skin Care,
,,,,,,,,,,,,O.B. ProComfort,,,,Amazon,,Spike SKUs,
,,,,,,,,,,,,OGX Fade-Defying,,Regular Shampoo,,Hair Care,,Skin Care,
,,,,,,,,,,,,Piz Buin Tan And Protect,,,,Amazon,,Spike SKUs,
,,,,,,,,,,,,Penaten,,Mixed Packs,,Baby Toiletries,,Essential Health,
,,,,,,,,,,,,Aveeno Dermexa,,,,Amazon,,Spike SKUs,
,,,,,,,,,,,,Neostrata,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Penaten,,Other,,Baby Toiletries,C40056,Essential Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Baby,,Baby Nappy Wipes,,Baby Nappy Wipes,C40056,Essential Health,
