SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
,,,,,,,,,,,,,,,,,,,
LATAM Perfect Store,LATAM,Brazil,,,,,,,,,,Band Aid,,,,,,,
Clavis,APAC,Japan,,,,,,,,,,Band Aid,,Adhesive Bandages,,Adhesive Bandages,,Wound Care,
TSKU (TDP),LATAM,Brazil,,,,,,,,,,Band-Aid,,,,Adhesive Bandages,,Wound Care,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,BABAB,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,BABAB Skin Color,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,BABAB Skin Color,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,BABAB Water Block,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,BABAB Water Block,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BAND-AID,,KPP,,Wound Care,,,
TSKU (TDP),APAC,Japan,,,,,,,,,,Band-Aid,,,,Adhesive Bandages,,Wound Care,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Bay 1,,null,,Bay 1,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Bay 2,,null,,Bay 2,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Bay 3 & 4,,null,,Bay 3 & 4,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Baybies,,,,Baby Toiletries,C40008,Baby Care,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Perfect Store Rebase,APAC,Japan,,,,,,,,,,BEAUTY,,H&B,,null,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Beauty Baby,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Rebase,APAC,India,,,,,,,,,,Beauty Care,,Beauty Care,,Beauty Care,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Beauty Care,,Clean & Care,,Beauty Care,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Beauty Care,,Clean & Clear,,Beauty Care,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Beauty Care,,Neutrogena,,Beauty Care,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Beauty Care,,null,,Beauty Care,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,B10047,Bebe,,,Bebe,,,,Adult Body Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,BODY CLEANSING,,,B10047,Bebe,,,Bebe,,,,Adult Body Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,FACIAL MOISTURIZERS & TREATMENTS,,,B10047,Bebe,,,Bebe,,,,Face Care Medicated,,Facial Care,
TSKU (TDP),EMEA,Germany,,,,,,B10047,Bebe,,,Bebe,,,,Face Care Regular,,Facial Care,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,B10047,Bebe,,,Bebe,,,,Hand Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,,,,B10047,Bebe,,,Bebe,,,,Lip Care,,Lip Care,
Profitero,EMEA,United Kingdom,,C40008,Baby Toiletries,0,0,B10047,Bebe,,,Bebe,,Skincare,,Health & Baby Care,,Baby Products,1
Profitero,EMEA,United Kingdom,,C40045,Facial Moisturizers & Treatments,0,0,B10047,Bebe,,,Bebe,,Face,,Skin Care,,Beauty,0
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50010,Adult Body Moisturizing,B10047,Bebe,,,Bebe,,,,Adult Body Moisturisers,,Body Care,1
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50010,Adult Body Moisturizing,B10047,Bebe,,,Bebe,,,,Adult Body Moisturisers,,Body Care,1
TSKU (TDP),EMEA,United Kingdom,,C40008,Baby Toiletries,,,B10047,Bebe,,,Bebe,,,,Baby Toiletries,,Baby Care,1
TSKU (TDP),EMEA,United Kingdom,,C40008,Baby Toiletries,,,B10047,Bebe,,,Bebe,,,,Baby Toiletries,,Baby Care,1
TSKU (TDP),EMEA,United Kingdom,,C40045,Facial Moisturizers & Treatments,C50004,Acne Facial Moisturizers,B10047,Bebe,,,Bebe,,,,Face Care Medicated,,Facial Care,1
TSKU (TDP),EMEA,United Kingdom,,C40045,Facial Moisturizers & Treatments,C50095,Regular Facial Moisturizers,B10047,Bebe,,,Bebe,,,,Face Care Regular,,Facial Care,1
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50066,Hand Moisturizing,B10047,Bebe,,,Bebe,,,,Hand Moisturisers,,Body Care,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bellybutton,,,,Baby Toiletries,C40008,Baby Care,
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benacort,,Allergy,,Allergy,,Self Care,1
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benacort,,,,Allergy,,Self Care,1
Perfect Store Rebase,APAC,India,,,,,,B10013,Benadryl,,,Benadryl,,Benadryl Cough - Syrup,,OTC,,,
Perfect Store Rebase,APAC,India,,,,,,B10013,Benadryl,,,Benadryl,,Benadryl Dry Cough,,OTC,,,
Perfect Store Rebase,APAC,India,,,,,,B10013,Benadryl,,,Benadryl,,Benadryl Kids,,OTC,,,
Perfect Store Rebase,APAC,India,,,,,,B10013,Benadryl,,,Benadryl,,Bulgam,,OTC,,,
Perfect Store Rebase,APAC,India,,,,,,B10013,Benadryl,,,Benadryl,,Cough - Complete,,Self Care,,,
Perfect Store Dashboard,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benadryl,,Allergy,,OTC,,,1
Perfect Store Dashboard,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benadryl,,Hay Fever,,OTC,,,1
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benadryl,,Allergy,,Allergy,,Self Care,1
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benadryl,,,,Allergy,,Self Care,1
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,0,0,B10013,Benadryl,,,Benadryl,,"Hayfever, Allergy & Antihistamines",,Medicine,,Health & Beauty,1
Profitero,EMEA,United Kingdom,,C40003,Allergy Care,C50016,Adult Allergy Non Anti Itch,B10013,Benadryl,,,Benadryl,,allergy & hayfever,,medicines & treatments,,health & pharmacy,1
TSKU (TDP),EMEA,United Kingdom,,C40003,Allergy Care,,,B10013,Benadryl,,,Benadryl,,,,Allergy,,Allergy Care,1
TSKU (TDP),NA,United States,1,Adult Allergy Non Anti Itch,,,Adult Allergy Non Anti Itch,B10013,Benadryl,,,BENADRYL,,ADULT ALLERGY,,ALLERGY CARE,,ALLERGY CARE,1
TSKU (TDP),NA,United States,1,Adult Allergy Anti Itch,,,Adult Allergy Anti Itch,B10013,Benadryl,,,BENADRYL,,ALLERGY ANTI ITCH,,ALLERGY CARE,,ALLERGY CARE,1
TSKU (TDP),NA,United States,1,Pediatric Allergy Non Anti Itch,,,Pediatric Allergy Non Anti Itch,B10013,Benadryl,,,BENADRYL,,PEDIATRIC ALLERGY,,ALLERGY CARE,,ALLERGY CARE,0
LATAM Perfect Store,LATAM,Brazil,,,,,,B10069,Benalet,,,Benalet,,,,,,,
TSKU (TDP),LATAM,Brazil,,,,,,B10069,Benalet,,,Benalet,,,,Sore Throat,,Cough & Cold,
TSKU (TDP),NA,United States,,External Analgesics,,,External Analgesics OTC,B10051,Bengay,,,BENGAY,,EXTERNAL ANALGESICS OTC,,PAIN & SLEEP,,PAIN CARE,1
Perfect Store Dashboard,EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,B10029,Benylin,,,Benylin,,Cough,,OTC,,,1
Perfect Store Dashboard,EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,B10029,Benylin,,,Benylin,,Kids Pain,,OTC,,,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,COLD & COUGH,,HEALTHCARE,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,C50067,Head / Decongestants,B10029,Benylin,,,Benylin,,Decongestants,,Cough and Cold,,Self Care,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,Cough and Cold,,Self Care,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,LIQUIDS,,HEALTHCARE,0
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,B10029,Benylin,,,Benylin,,"cough, cold & flu",,medicines & treatments,,health & pharmacy,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,TABLETS,,HEALTHCARE,0
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,,,Health & Wellbeing,1
Profitero,EMEA,United Kingdom,,C40012,Cold & Cough,0,0,B10029,Benylin,,,Benylin,,,,,,Health & Personal Care,1
TSKU (TDP),EMEA,United Kingdom,,C40012,Cold & Cough,C50044,Cough,B10029,Benylin,,,Benylin,,,,Cough,,Cough & Cold,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Liners,C40053,Women's Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Mouthwash,C40056,Oral Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Mouthwash,C40056,Oral Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Mouthwash,C40056,Oral Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Napkins,C40031,Women's Health,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bevola,,,,Tampons,C40055,Women's Health,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Adult Body Moisturisers,,Body Care,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Baby Toiletries,,Baby Care,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Facial Anti-age Moisturisers,,Facial Care,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Facial Cleansing,,Facial Care,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Facial Regular Moisturisers,,Facial Care,
TSKU (TDP),APAC,China,,,,,,B10052,Biafine,,,Biafine,,,,Sun Protection,,Sun Care,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,B10052,Biafine,,,Biafine,,,,Adult Body Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,BODY CLEANSING,,,B10052,Biafine,,,Biafine,,,,Adult Body Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,AFTER SUN,,,B10052,Biafine,,,Biafine,,,,Aftersun,,Sun Care,
TSKU (TDP),EMEA,Germany,,,BABY TOILETRIES,,,B10052,Biafine,,,Biafine,,,,Baby Toiletries,,Baby Care,
TSKU (TDP),EMEA,Germany,,,KIDS/CHILD CARE,,,B10052,Biafine,,,Biafine,,,,Baby Toiletries,,Baby Care,
TSKU (TDP),EMEA,Germany,,,,,,B10052,Biafine,,,Biafine,,,,Face Care Regular,,Facial Care,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,B10052,Biafine,,,Biafine,,,,Hand Moisturisers,,Body Care,
TSKU (TDP),EMEA,Germany,,,,,,B10052,Biafine,,,Biafine,,,,Lip Care,,Lip Care,
TSKU (TDP),EMEA,Germany,,,SUN PROTECTION,,,B10052,Biafine,,,Biafine,,,,Sun Protection,,Sun Care,
,,,,,,,,,,,,,,,,,,,
Perfect Store Rebase,APAC,India,,,,,,,,,,Big Packs,,null,,Big Packs,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bioniq,,,,Mouthwash,C40056,Oral Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bioniq,,,,Mouthwash,C40056,Oral Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bioniq,,,,Mouthwash,C40056,Oral Care,
,,,,,,,,,,,,,,,,,,,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Bio-Oil,,,,Baby Toiletries,C40008,Baby Care,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profitero,EMEA,United Kingdom,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,Blink,,,,,,Skin Care,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
